id;transaction_code;transaction_type;transaction_detail
1;Cambridgeshire Louisiana process improvement;CASHSHOP;Car copy
2;Direct Devolved;TOPUP;Jewelery
3;Generic;TOPUP;Coordinator Awesome Concrete Chair
4;Auto Loan Account Bike Lead;TOPUP;front-end
5;Factors;TOPUP;green
6;throughput;TRADE;override Gorgeous Cotton Chicken
7;hacking;CASHSHOP;haptic RSS
8;Montana Awesome Frozen Salad interface;CASHSHOP;Auto Loan Account
9;withdrawal deposit;TOPUP;Usability
10;calculate Avon;TOPUP;Practical Soft Hat transmit
