id;armor_name;base_def;base_hp;armor_type;armorsize;rarity
1;customer loyalty parse bypassing;13909;64949;TEMPERCARBONGLASS;SHORT;UNCOMMON
2;Cambridgeshire analyzer;51478;7182;TEMPERSTEEL;HEAVY;MYTHIC
3;Tasty Generic Fresh Chicken;15016;42891;TEMPERSTEEL;SHORT;MYTHIC
4;Officer Movies;59908;30043;ORINITE;MEDIUM;LEGENDAY
5;Rubber;23464;88391;TEMPERSTEEL;MEDIUM;ARTIFACT
6;Functionality District well-modulated;70055;67263;LEATHER;SHORT;LEGENDAY
7;Grocery JBOD aggregate;75249;8138;ORINITE;SHORT;UNCOMMON
8;International;55194;39895;STEEL;HEAVY;MYTHIC
9;Fresh;78683;95898;IRON;HEAVY;RARE
10;Home Loan Account;13167;60762;ORINITE;MEDIUM;RARE
