id;item_name;item_description;obtainedfrom;is_enchant
1;digital;compressing;MOBDROP;true
2;next-generation panel Reunion;Venezuela;CRAFTING;true
3;Bacon invoice;1080p backing up;CRAFTING;false
4;Monitored;instruction set Shoes utilize;CASHSHOP;true
5;Strategist synthesizing;capacitor payment;MOBDROP;true
6;silver;Checking Account salmon;CASHSHOP;true
7;Architect Frozen Lodge;Monitored;MISC;true
8;Forward Health TCP;Buckinghamshire Clothing Belize;CRAFTING;false
9;secured line;Island Realigned;CASHSHOP;true
10;JBOD;transform Wells;DUNGEONDROP;true
