id;class_name;class_detail_info;class_atk_type;class_bonus_stat_a;class_bonus_stat_b;class_bonus_stat_c;class_bonus_stat_d;class_bonus_stat_e;class_bonus_stat_f;class_bonus_stat_g;class_bonus_stat_h;class_bonus_hp;class_bonus_sp
1;bus;Valley efficient software;RANGED;13081;62270;46868;15880;28025;23969;32949;13359;42405;28994
2;Botswana;AI Christmas Island;MAGIC;51609;86676;23093;96758;65338;76075;9439;16593;30974;89092
3;Louisiana Customer-focused Granite;Public-key incremental;RANGED;34769;10187;72441;68832;67495;28839;10691;53403;90225;52002
4;Beauty;Soft e-business Auto Loan Account;PHYSICAL;26635;82375;83615;92066;32923;87314;67476;86123;77691;27313
5;Gold zero administration;generating;MAGIC;90233;33330;40208;10501;27;81518;29413;81400;34878;85488
6;Checking Account Belarus Licensed Cotton Shirt;back up invoice;PHYSICAL;78984;63213;53344;76803;48211;35642;14478;75630;70660;23590
7;feed Rustic lavender;yellow Washington;RANGED;59083;27865;70558;48417;56650;10327;23690;50553;90278;7850
8;heuristic Baby Adaptive;Maldives Burundi;MAGIC;16886;39940;87764;27553;35394;81312;71307;17268;66686;22584
9;Baby card;orchid synthesizing;PHYSICAL;20892;96841;8435;83157;24112;23033;76492;45405;18728;29087
10;morph Handcrafted;Organized;RANGED;17734;37184;70921;59036;63394;12425;55648;71840;18938;31933
