id;chara_attribute_points;chara_stat_a;chara_stat_b;chara_stat_c;chara_stat_d;chara_stat_e;chara_stat_f;chara_stat_g;chara_stat_h;chara_behaviour_a;chara_behaviour_b;chara_stat_hp;chara_stat_mp
1;47659;8243;68829;88088;95234;77797;70019;11149;3029;98257;64786;4007;75870
2;43424;96315;109;90405;56324;76393;99199;51776;31574;72371;79971;29494;51513
3;62053;98251;58670;621;54123;72472;28038;24358;71100;37954;38196;11529;56665
4;16135;18595;40086;98707;66159;4563;12088;47111;46399;33299;16232;83798;92766
5;56017;55253;10866;77674;45925;22373;79894;8282;89654;13896;48300;7904;60115
6;16076;25008;78070;79395;64552;73320;84214;34410;79090;33107;39933;98758;29234
7;13654;58484;74025;63301;34396;75747;13097;67882;36234;36964;74434;95064;42003
8;24233;67511;89651;70767;79116;68417;536;14132;46645;99048;25350;89569;44417
9;76905;38242;81097;83217;49172;54757;44050;75386;17547;26809;62014;90056;53995
10;3990;19799;94011;16425;9576;54768;60666;59761;59735;58013;63232;7983;5931
