id;storage_inventory_name;slot;amount;location_coor_a;location_coor_b
1;bypass capacitor;23529;50216;31176;63584
2;Checking Account virtual Idaho;30491;37918;58372;98884
3;calculating;69928;92082;20176;97618
4;Fantastic Rubber Cheese Sierra Leone;81608;68985;88403;42998
5;generating Nakfa hacking;3800;97670;36064;70399
6;Personal Loan Account;98757;99580;89759;57249
7;Bedfordshire silver;75687;75118;16509;63227
8;clicks-and-mortar;25072;53284;65478;83341
9;Garden;6205;39991;39262;52253
10;HDD brand;45985;50992;88263;78882
