id;weapon_name;weapon_description;base_atk;weapon_type;weapon_size;rarity
1;repurpose global;quantifying Mouse;51401;WAND;MEDIUM;RARE
2;SDR USB Cote d'Ivoire;Forward Port;87891;SWORD;MEDIUM;MYTHIC
3;optical;override;7537;STAFF;MEDIUM;LEGENDAY
4;Cambridgeshire PNG olive;capacity multi-byte;23847;CROSSBOW;HEAVY;MYTHIC
5;Plains;system Granite Creative;22081;GREATSWORD;MEDIUM;EPIC
6;Intelligent Ball;Greens white alliance;55458;GREATSWORD;HEAVY;MYTHIC
7;Networked repurpose Comoro Franc;Fresh Health Investment Account;62853;GREATSWORD;HEAVY;EPIC
8;orange Practical Berkshire;digital;5147;CROSSBOW;MEDIUM;EPIC
9;invoice Profit-focused;JBOD;74717;WAND;SHORT;MYTHIC
10;logistical granular grid-enabled;Paradigm;91278;CROSSBOW;HEAVY;EPIC
